eid,age,gender,maritalstatus,department,jobrole,education,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,Annualincome,relationshipsatisfaction,workinghrsperday,totalworkingyearsexperience,TrainingTime,WorkLifeBalance,BehaviourialCompetence,OntimeDelivery,TicketSolvingManagements,Projectevlaution,Workingfromhomeoroffice,Psychosocialindicators,overtime,attendance,effectedwithcorona,PercentSalaryHike,Netconnectivity,PerformanceRating
LZJ048,49,f,single,Sales,Sales Executive,4,1,2,4,4,20,3,8,8,5,4,3,1,1,14,office,5,no,present,no,6,yes,1
pEQ793,40,f,married,Sales,Sales Executive,3,4,1,5,4,11,2,8,24,2,4,5,5,2,12,home,4,yes,absent,no,8,yes,4
jGb879,33,f,single,Sales,Sales Executive,5,4,2,5,1,9,2,8,20,2,3,1,5,1,13,office,1,no,present,yes,5,yes,1
HXZ392,28,f,married,Human Resources,Manager,4,2,1,2,1,7,4,8,4,4,2,3,2,1,14,office,0,no,absent,yes,12,no,4
wTb124,45,m,married,Sales,Sales Executive,2,3,4,5,2,24,1,8,16,1,3,2,4,1,11,home,0,yes,present,no,9,no,3
ovw696,48,m,married,Development,Developer,3,4,1,4,1,21,4,8,4,1,1,4,4,3,12,home,1,no,present,yes,15,no,4
QQE068,26,f,single,Sales,Sales Representative,-3,3,3,4,1,19,1,8,4,3,1,3,1,4,14,home,4,no,absent,no,7,yes,3
xdk959,35,m,married,Development,Developer,2,3,4,3,1,23,2,8,10,6,1,3,5,3,10,home,2,yes,present,yes,15,no,2
iyz044,26,m,married,Development,Developer,3,1,4,4,4,24,4,8,14,4,2,4,1,5,7,office,5,no,absent,no,7,yes,4
WCo993,27,m,single,Development,Developer,4,3,3,1,4,17,3,8,4,2,4,3,2,2,11,home,0,no,present,no,3,no,3
frV614,38,f,married,Development,Developer,4,3,1,3,2,19,3,8,12,5,4,5,3,1,9,office,4,yes,present,no,7,yes,1
wkD971,26,m,married,Sales,Sales Executive,2,2,3,2,1,13,1,8,15,6,4,2,4,1,4,home,5,yes,present,no,9,yes,1
Quy196,35,f,married,Sales,Sales Executive,3,1,4,1,2,10,3,8,24,1,4,5,3,3,7,home,1,yes,present,yes,4,no,1
NJS272,44,m,single,Sales,Sales Representative,2,4,1,1,1,7,3,8,20,3,3,1,2,5,6,home,4,no,absent,no,14,yes,2
BgC629,40,f,married,Development,Developer,3,1,1,5,3,7,1,8,25,5,2,4,4,1,10,office,3,yes,absent,yes,11,no,3
RoC433,32,f,single,Development,Developer,2,2,1,4,3,5,3,8,1,3,1,3,5,2,14,office,3,no,absent,no,7,yes,4
Qmq725,26,f,married,Human Resources,Human Resources,2,4,4,5,4,11,1,8,8,1,1,4,4,5,4,home,4,no,present,no,16,no,2
HBe007,29,m,married,Development,Developer,1,1,3,1,3,15,3,8,23,6,1,4,1,2,10,home,5,no,present,no,4,yes,4
EyP502,27,f,married,Development,Developer,4,3,2,4,2,16,1,8,19,3,4,2,1,4,10,office,2,no,present,yes,10,no,2
Gbu724,32,f,single,Development,Developer,3,3,3,2,3,25,1,8,15,2,3,4,3,2,5,home,2,no,present,yes,3,no,4
yRR553,38,f,married,Sales,Sales Representative,1,3,3,1,2,22,2,8,7,2,4,1,3,4,11,office,2,no,present,no,3,yes,4
DEK464,44,f,married,Development,Developer,2,2,3,2,3,8,3,8,7,3,3,4,4,5,9,office,5,yes,absent,yes,1,no,4
nRi375,38,m,single,Development,Senior Developer,1,1,1,4,2,9,3,8,20,4,2,3,5,3,11,office,0,no,absent,yes,9,no,3
TuX496,50,m,married,Development,Developer,4,2,4,1,3,17,3,8,6,1,3,1,4,4,8,office,5,no,present,no,14,no,3
wRT555,27,f,single,Development,Developer,1,4,2,3,4,9,2,8,17,6,2,0,5,5,5,office,3,yes,absent,yes,10,yes,2
yIJ111,50,f,single,Sales,Manager,3,2,4,3,3,14,2,8,20,5,2,0,3,1,11,home,3,no,present,no,15,no,2
Yrz988,48,m,single,Development,Developer,5,1,4,3,2,8,2,8,5,4,3,2,5,1,13,home,5,yes,absent,yes,15,yes,2
QLG864,36,m,married,Sales,Sales Executive,3,1,3,1,4,21,2,8,24,2,2,1,5,1,9,office,2,no,absent,yes,6,no,1
FZr881,39,f,single,Sales,Sales Representative,5,2,4,5,2,5,3,8,5,1,1,0,3,1,5,home,3,no,present,no,6,yes,3
cIn982,33,m,single,Development,Developer,1,1,2,3,2,20,1,8,14,5,1,5,2,5,12,office,5,yes,absent,no,4,yes,4
